priority_rank,resource_id,url,claim_count,category,description,already_ingested_by_this_library
22,RES-0216,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/overdoses-in-homelessness-services-settings/,3,City of Toronto (primary govt),"City of Toronto Overdoses in Homelessness Services Settings dataset - updated through 2026, includes the 2026 monthly overdose surge and quarterly trend data",no
23,RES-0223,https://www.toronto.ca/community-people/housing-shelter/homeless-help/about-torontos-shelter-system/street-needs-assessment/,3,City of Toronto (primary govt),2024 Street Needs Assessment Report,yes
24,RES-0254,https://www.toronto.ca/wp-content/uploads/2025/07/9790-street-needs-assessment-report-2024.pdf,3,City of Toronto (primary govt),2024 Street Needs Assessment Report,yes
25,RES-0256,https://www.toronto.ca/wp-content/uploads/2026/03/8eba-2026-Public-Book-TSSS-V1.pdf,3,City of Toronto (primary govt),TSSS 2026 Program Summary — HSCIS $507.6M Confirmation,yes
26,RES-0284,https://www.socialplanningtoronto.org/,3,Sector nonprofit/network,"Social Planning Toronto - RESOLVED July 2026, see CL-485/486/487",no
27,RES-0315,https://link.springer.com/article/10.1186/s12889-026-27460-8,3,Academic (journal),"Ali et al BMC Public Health 2026 - major gendered mortality study, see CL-476/477/478",no
28,RES-0323,https://falconers.ca/wp-content/uploads/2026/05/Reg.-Mun.-of-Waterloo-v.-Named-Respondents-and-Persons-Unknown.FINAL_.Gibson-J.21-May-2026-V2.pdf,3,Government of Canada (primary govt),Primary Waterloo 2026 ONSC 2971 decision text - see CL-494/495/496,no
29,RES-0415,https://homelesshub.ca/sites/default/files/CanISeeYourID_nov9.pdf,3,Backfilled (auto),OGrady Gaetz and Buccieri 2011 direct primary source retrieval,no
30,RES-0419,https://homelesshub.ca/wp-content/uploads/2023/12/ComingOfAgeHH_0.pdf,3,Backfilled (auto),Gaetz 2014 direct primary source retrieval full text,no
31,RES-0516,https://open.toronto.ca/dataset/daily-shelter-overnight-service-occupancy-capacity/,3,Backfilled (auto),City of Toronto Daily Shelter and Overnight Service Occupancy and Capacity Open ,no
32,RES-0010,https://caeh.ca/medicine-hat-functional-zero/,2,Sector nonprofit/network,CAEH — Medicine Hat Functional Zero (June 2021),yes
33,RES-0014,https://community.solutions/built-for-zero/functional-zero/,2,Sector nonprofit/network,Community Solutions — Built for Zero: Functional Zero Definition and 2025 Evolution,yes
34,RES-0023,https://en.wikipedia.org/wiki/Toronto_City_Council_2022%E2%80%932026,2,Other (en.wikipedia.org),"Wikipedia: ""November 30, 2023: Former Toronto District School Board trustee Parthi Kandavel is elect",no
35,RES-0028,https://fao-on.org/en/report/estimates-2025-mccss/,2,Ontario FAO,"Financial Accountability Office of Ontario, Ministry of Children Community and Social Services 2025 ",no
36,RES-0030,https://feedontario.ca/wp-content/uploads/2019/04/Feed-Ontario-Report-Social-Assistance-Changes-2019.pdf,2,Sector nonprofit/network,"Feed Ontario - Social Assistance Changes in Ontario (2019) - historical OW/ODSP rate report, distinct from the 2025 Hunger Report",yes
37,RES-0032,https://globalnews.ca/news/11213143/ont-toronto-refugee-lawsuit/,2,News (other outlet),Global News — Proposed Class Action Lawsuit on Refugee Shelter Exclusion (June 2025),yes
38,RES-0034,https://globalnews.ca/news/11937544/ontario-not-reach-housing-goal/,2,News (other outlet),Global News (globalnews.ca/news/11937544); CBC News housing starts reporting,no
39,RES-0038,https://healthydebate.ca/2024/10/topic/hospitals-encampments-mental-illness-canada/,2,Other (healthydebate.ca),"Healthy Debate ""From hospitals to encampments"" October 8 2024",no
40,RES-0045,https://housing-infrastructure.canada.ca/homelessness-sans-abri/hifis-sisa/index-eng.html,2,Government of Canada (primary govt),Housing Infrastructure and Communities Canada official HIFIS program page,no
41,RES-0074,https://secure.toronto.ca/council/agenda-item.do?item=2024.EC13.8,2,City of Toronto (primary govt),Toronto City Council 2024.EC13.8,no
42,RES-0075,https://secure.toronto.ca/council/agenda-item.do?item=2024.EC17.4,2,City of Toronto (primary govt),Council Item 2024.EC17.4,no
43,RES-0076,https://secure.toronto.ca/council/agenda-item.do?item=2024.EC9.4,2,City of Toronto (primary govt),City of Toronto Council Item 2024.EC9.4,no
44,RES-0080,https://secure.toronto.ca/council/agenda-item.do?item=2025.EX26.13,2,City of Toronto (primary govt),Mayor Olivia Chow letter to Council Sept 26 2025 item 2025.EX26.13,no
45,RES-0085,https://secure.toronto.ca/council/report.do?meeting=2025.AU8&type=decisions,2,City of Toronto (primary govt),Toronto Auditor General Feb 2025 audit full recommendation list via Audit Committee decision documen,no
46,RES-0090,https://tdotcommunity.ca/project/drug-overdose-deaths-in-torontos-homeless-shelters-are-the-new-normal/,2,Other (tdotcommunity.ca),tdotcommunity.ca April 2022 citing City overdose data,no
47,RES-0092,https://thelocal.to/ttc-mental-health-issues-homelessness-public-space/,2,Other (thelocal.to),The Local — Investigative Journalism on TTC and Homelessness,yes
48,RES-0094,https://toronto.ca/wp-content/uploads/2024/04/96b5-Shelter-Safety-Study-AODA-Final-Report-April-2024.pdf,2,City of Toronto (primary govt),CAMH Shelter Safety Study 2024,no
49,RES-0098,https://tribunalwatch.ca/2024/ltb-statement-of-concern-the-numbers-speak-for-themselves/,2,Tribunal Watch / Tribunals Ontario,Tribunal Watch Ontario February 2024,no
50,RES-0099,https://tribunalwatch.ca/2025/the-landlord-and-tenant-board-annual-report-progress-but-still-a-long-way-to-go/,2,Tribunal Watch / Tribunals Ontario,Tribunal Watch Ontario analysis of Tribunals Ontario 2024-25 Annual Report,no
51,RES-0114,https://www.calgaryhomeless.com/,2,Other (www.calgaryhomeless.com),"Calgary Homeless Foundation 2024 PIT count — confirmed research pass; 3,314 was incorrect",no
52,RES-0118,https://www.cbc.ca/news/canada/kitchener-waterloo/green-liberal-mpps-housing-first-private-members-bill-can-it-work-1.7548550,2,News (CBC),AMO/HelpSeeker 2025 report via CBC News June 2025,no
53,RES-0124,https://www.cbc.ca/news/canada/toronto/ontario-defends-supervised-consumption-site-closures-9.7142185,2,News (CBC),"CBC News — Ford Government Defends SCS Closures (March 25, 2026)",yes
54,RES-0128,https://www.cbc.ca/news/canada/toronto/toronto-affordable-housing-lottery-changes-1.7416934,2,News (CBC),CBC News January 6 2025 citing City of Toronto data,no
55,RES-0131,https://www.cbc.ca/news/canada/toronto/toronto-ombudsman-report-refugee-shelters-council-1.7414425,2,News (CBC),"CBC News — Council Response to the Refugee Shelter Ombudsman Report (Dec 19, 2024)",yes
56,RES-0142,https://www.cihi.ca/en/homelessness-and-hospital-use,2,Other (www.cihi.ca),"CIHI — Homelessness and Hospital Use, 2022-2023",yes
57,RES-0144,https://www.cihi.ca/en/patient-cost-estimator,2,Other (www.cihi.ca),CIHI Patient Cost Estimator 2022-23; various secondary sources,no
58,RES-0147,https://www.cmhc-schl.gc.ca,2,Government of Canada (primary govt),CMHC Average Market Rent 2024,no
59,RES-0156,https://www.helpseeker.org/reports/municipalities-under-pressure-the-human-and-financial-cost-of-ontarios-homelessness-crisis,2,Other (www.helpseeker.org),Donaldson et al. (2025). Municipalities Under Pressure. HelpSeeker/AMO.,no
60,RES-0172,https://www.ola.org/en/legislative-business/bills/parliament-44/session-1/bill-28,2,Other (www.ola.org),"Bill 28 — Homelessness Ends with Housing Act, 2025",yes
61,RES-0188,https://www.ontario.ca/page/homelessness-and-addiction-recovery-treatment-hubs-hart-hubs-reference-document-january-2025,2,Government of Ontario (primary govt),HART Hub Reference Document (January 2025),yes
62,RES-0193,https://www.pbo-dpb.ca/en/publications/RP-2425-005-S--federal-spending-address-homelessness,2,Government of Canada (primary govt),Parliamentary Budget Office — Federal Spending to Address Homelessness (May 2024),yes
63,RES-0195,https://www.pbo-dpb.ca/en/publications/RP-2425-007-S--costing-asylum-claims-from-visa-exempt-countries--analyse-couts-demandeurs-asile-pays-dispenses-obligation-visa,2,Government of Canada (primary govt),PBO — Costing Asylum Claims from Visa-Exempt Countries,yes
64,RES-0201,https://www.thecanadianencyclopedia.ca/en/article/ontario-cuts-back,2,Other (www.thecanadianencyclopedia.ca),"Canadian Encyclopedia (Maclean's July 31 1995): ""cheque reduced from $663 to $520""; Policy Options 2",no
65,RES-0212,https://www.toronto.ca/city-government/budget-finances/city-budget/,2,City of Toronto (primary govt),Toronto Budget Committee Jan 2025,no
66,RES-0213,https://www.toronto.ca/city-government/council/members-of-council/,2,City of Toronto (primary govt),City of Toronto Members of Council page; Wikipedia Toronto City Council 2022-2026,no
67,RES-0215,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/deaths-of-shelter-residents/annual-review-of-statistics-on-deaths-of-shelter-residents/,2,City of Toronto (primary govt),City of Toronto 2024 Annual Review of Statistics on Deaths of Shelter Residents,no
68,RES-0226,https://www.toronto.ca/community-people/housing-shelter/rental-housing-rights-information/understand-prevent-evictions/eviction-prevention-in-the-community-epic/,2,City of Toronto (primary govt),Meta Task G citing City budget notes; Qwen Task G confirms program details,no
69,RES-0235,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-251962.pdf,2,City of Toronto (primary govt),TSSS 2025 Budget Notes,yes
70,RES-0239,https://www.toronto.ca/legdocs/mmis/2025/ex/bgrd/backgroundfile-254196.pdf,2,City of Toronto (primary govt),George Street Revitalization — Advancing the Project (March 2025),yes
71,RES-0247,https://www.toronto.ca/news/city-of-toronto-staff-report-on-encampments-and-interdivisional-protocol-for-encampments-in-toronto-idp/,2,City of Toronto (primary govt),City of Toronto — Fact Sheet on Encampments and Interdivisional Protocol (May 2024),yes
72,RES-0248,https://www.toronto.ca/news/toronto-public-health-releases-updated-data-for-deaths-of-people-experiencing-homelessness-in-toronto/,2,City of Toronto (primary govt),Toronto Public Health press release February 2025,no
73,RES-0264,https://www.torontoauditor.ca/report/part-1-of-the-audit-of-emergency-shelters-a-focus-on-case-management/,2,Toronto Auditor General,Toronto Auditor General Part 1 of the Audit of Emergency Shelters: A Focus on Case Management 2022,no
74,RES-0273,https://www.torontotoday.ca/local/crime-emergency-services/several-toronto-warming-centres-full-capacity-as-advocates-allege-people-being-turned-away-11786211,2,News (other outlet),TorontoToday — Warming Centre Capacity Dispute (January 2026),yes
75,RES-0280,https://www150.statcan.gc.ca/n1/pub/75f0002m/75f0002m2023006-eng.htm,2,Government of Canada (primary govt),"Statistics Canada — A Profile of Workers in the Homelessness Support Sector, 2021",yes
76,RES-0285,https://acto.ca/,2,Sector nonprofit/network,"ACTO - RESOLVED July 2026, see CL-488/489",no
77,RES-0293,https://www.urban.org/policy-centers/metropolitan-housing-and-communities-policy-center/projects/denver-supportive-housing-social-impact-bond-initiative/what-we-learned-evaluation,2,Sector nonprofit/network,"Urban Institute Denver SIB - RESOLVED July 2026, see CL-472/473, 285 housed corrected from 365",no
78,RES-0309,https://www.cbc.ca/news/canada/toronto/toronto-drug-overdose-rise-9.7157942,2,News (CBC),"April 2026 Toronto drug surge, medetomidine adulterant - see CL-479",no
79,RES-0316,https://www.socialplanningtoronto.org/childpoverty2026,2,Sector nonprofit/network,SPT Child Poverty Report Card 2026 - see CL-485/486,no
80,RES-0318,https://www.acto.ca/feed/,2,Sector nonprofit/network,ACTO Bill 60 specifics + Henley Crescent v Browne ruling - see CL-488/489,no
81,RES-0326,https://www.sunshineliststats.com/ontario/employers/fred-victor-centre/,2,Government of Ontario (primary govt),Fred Victor 2025 Sunshine List full breakdown - see CL-498,no
82,RES-0341,https://homesfirst.on.ca/wp-content/uploads/2022/02/HFS-2020-Audited-Financial-Statements.pdf,2,Sector nonprofit/network,"Homes First 2020 Schedule of Shelters - see CL-525, CL-526",no
83,RES-0343,https://dixonhall.org/wp-content/uploads/2021/09/Financial-Statements-Dixon-Hall-2020-Final-signed.pdf,2,Sector nonprofit/network,"Dixon Hall 2020 program-category breakdown - see CL-527, CL-528",no
84,RES-0346,https://www.cbc.ca/news/canada/toronto/homeless-deaths-toronto-2021-1.6300513,2,News media,Documented Homes First shelter death - see CL-531,no
85,RES-0347,https://www.charityintelligence.ca/charity-details/114-dixon-hall-neighbourhood-services,2,Sector nonprofit/network,Dixon Hall low comparative rating - see CL-532,no
86,RES-0355,https://www.toronto.ca/news/city-of-toronto-updates-on-shelter-system-pressures-and-calls-for-a-sustainable-fair-funding-model-to-support-people-experiencing-homelessness/,2,Government of Ontario (primary govt),Capacity growth confirmation - see CL-544,no
87,RES-0356,https://www.blogto.com/city/2025/02/toronto-warming-centres-cost-city-more-fancy-hotel/,2,News media,AG warming centres correction confirmed - see CL-546,no
88,RES-0357,https://www.toronto.ca/legdocs/mmis/2022/au/bgrd/backgroundfile-226299.pdf,2,Government of Ontario (primary govt),"AG hotel overpayment audit - major finding - see CL-565, CL-566",no
89,RES-0370,https://falconers.ca/superior-court-makes-new-ruling-clearing-the-encampment-violates-charter-rights/,2,Backfilled (auto),Falconers LLP primary decision analysis and multiple independent legal commentar,no
90,RES-0387,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-252530.pdf,2,Backfilled (auto),TCHC 2025 Budget Notes direct primary source retrieval,no
91,RES-0390,https://torontohousing.ca/sites/default/files/2024-07/item_9a_-_bifac-2024-52_2023_facilities_condition_index_fci_report_with_attachment.pdf,2,Backfilled (auto),TCHC 2023 FCI Report and TCHC 2025 Budget Notes both direct primary source retri,no
92,RES-0416,https://homelesshub.ca/sites/default/files/SOHC16_final_20Oct2016.pdf,2,Backfilled (auto),Gaetz Dej Richter Redman 2016 direct primary source retrieval,no
93,RES-0421,https://homelesshub.ca/blog/2025/from-crisis-response-to-prevention-lessons-from-making-the-shift-research/,2,Backfilled (auto),Homeless Hub official retrospective blog post on Making the Shift program conclu,no
94,RES-0424,https://www.tandfonline.com/doi/full/10.1080/10530789.2025.2605707,2,Backfilled (auto),Bonakdar Banchani Drammeh Gaetz Somefun Naidoo Schwan Kidd Journal of Social Dis,no
95,RES-0425,https://johnhoward.on.ca/wp-content/uploads/2014/09/the-missing-link-aug-2007.pdf,2,Backfilled (auto),Gaetz and OGrady 2006 direct primary source retrieval via John Howard Society On,no
96,RES-0426,https://www.researchgate.net/publication/235910228_Taming_Disorderly_People_One_Ticket_at_a_Time_The_Penalization_of_Homelessness_in_Ontario_and_British_Columbia,2,Backfilled (auto),Academic analysis of the same OSSA ticketing dataset this library already relies,no
97,RES-0427,https://www.homelesshub.ca/sites/default/files/SOHC2014.pdf,2,Backfilled (auto),Gaetz Gulliver Richter 2014 direct primary source retrieval via search,no
98,RES-0437,https://homelessnesslearninghub.ca/wp-content/uploads/2025/02/CERP-Summary-Toronto-ON.pdf,2,Backfilled (auto),Toronto Community Encampment Response Plan official summary document direct prim,no
99,RES-0438,https://www.oecd.org/en/publications/oecd-toolkit-to-combat-homelessness_0fec780e-en/full-report/long-term-housing-solutions-housing-led-and-housing-first_db4e15b1.html,2,Backfilled (auto),OECD direct primary source retrieval of the Toolkit to Combat Homelessness full ,no
100,RES-0439,https://www.toronto.ca/wp-content/uploads/2022/02/948f-Toronto-Housing-Charter-2020.pdf,2,Backfilled (auto),City of Toronto direct primary source retrieval cross-verified against CBC cover,no
101,RES-0440,https://www.parl.ca/legisinfo/en/bill/45-1/c-205,2,Backfilled (auto),Parliament of Canada LEGISinfo direct primary source retrieval,no
102,RES-0449,https://policyoptions.irpp.org/magazines/december-2023/homelessness-strategies-should-reflect-patterns-of-shelter-use/,2,Backfilled (auto),Policy Options IRPP direct primary source retrieval,no
103,RES-0463,https://www.toronto.ca/legdocs/mmis/2026/bu/comm/communicationfile-202093.pdf,2,Backfilled (auto),"Citizen submission to Toronto 2026 Budget Committee, an advocacy document not a ",no
104,RES-0515,https://ckan0.cf.opendata.inter.prod-toronto.ca/ne/dataset/daily-shelter-occupancy,2,Backfilled (auto),City of Toronto Daily Shelter Occupancy Open Data cross-referenced against Homes,no
105,RES-0001,http://www.torontoshelternetwork.com/,1,Other (www.torontoshelternetwork.com),torontoshelternetwork.com,no
106,RES-0002,http://www.welllivinghouse.com/wp-content/uploads/2019/05/MK_Evaluation-Report_2019.pdf,1,Other (www.welllivinghouse.com),Firestone et al. 2019 Well Living House,no
107,RES-0003,https://abc13.com/post/increased-number-citations-written-homeless-houston-new-ordinance/18149138/,1,Other (abc13.com),Houston Public Media July 16 2025; ABC13; Defender Network — confirmed research pass June 30 2026,no
108,RES-0004,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2013.301369,1,Other (ajph.aphapublications.org),Hwang et al 2013 AJPH Comprehensive Assessment of Health Care Utilization,no
109,RES-0005,https://alphahousecalgary.com/how-we-help/outreach/,1,Sector nonprofit/network,Calgary HELP (formerly DOAP) Team — Alpha House Society,yes
110,RES-0006,https://bot.com/Resources/Resource-Library/priced-out-the-high-cost-of-development-charges,1,Other (bot.com),"Toronto Region Board of Trade — ""Priced Out: The High Cost of Development Charges"" (December 2025)",yes
111,RES-0007,https://bsh.ubc.ca/bill-60-and-the-ltb-backlog-misdiagnosis-misdirection-and-missed-opportunities/,1,Other (bsh.ubc.ca),"Balanced Supply of Housing UBC ""Bill 60 and the LTB Backlog"" March 23 2026",no
112,RES-0008,https://budget.ontario.ca/2023/,1,Government of Ontario (primary govt),Ontario Budget 2023; MMAH 2024-25 plans; Hansard May 16 2023,no
113,RES-0009,https://caeh.ca/cas/,1,Sector nonprofit/network,CAEH — What is a Coordinated Access System?,yes
114,RES-0011,https://canliiconnects.org/en/commentaries/73252,1,Other (canliiconnects.org),CanLII Connects commentary on Sanctuary et al v Toronto 2020 ONSC 6207,no
115,RES-0012,https://ccla.org/equality/ccla-reacts-to-ontario-passing-the-safer-municipalities-act/,1,Other (ccla.org),CCLA statement (ccla.org); legislative analysis (gowlingwlg.com); confirmed research pass June 2026,no
116,RES-0013,https://colab.ws/articles/10.1177/10780874251314838,1,Other (colab.ws),ResearchGate CoLab and Community Housing Canada publication listings confirming paper type and abstr,no
117,RES-0015,https://cupe.ca/local/cupe-966-salvation-army-wilkinson-and-cawthra-and-peel-family-shelters,1,Other (cupe.ca),CUPE official local directory pages,no
118,RES-0016,https://cupe.on.ca/cupe-ontario-and-omw-join-amos-municipalities-calls-to-deal-with-human-and-financial-costs-of-ontarios-homelessness-crisis/,1,Other (cupe.on.ca),CUPE Ontario press release January 2025,no
119,RES-0017,https://cupelocal79.org/city-workers-request-no-board-report-prepare-for-possible-strike-action/,1,Sector nonprofit/network,CUPE Local 79 official statements and TorontoToday/CBC reporting Jan-March 2025,no
120,RES-0018,https://cupelocal79.org/worth-it/,1,Sector nonprofit/network,"CUPE Local 79 — ""Worth It"" Campaign Page and City of Toronto March 2025 Agreement Announcement",yes
121,RES-0019,https://doi.org/10.1186/s12888-015-0408-z,1,Other (doi.org),Stergiopoulos et al. 2015; At Home/Chez Soi trial (largest Canadian housing RCT),no
122,RES-0020,https://doi.org/10.1186/s12889-025-23006-6,1,Other (doi.org),BMC Public Health systematic review and qualitative evidence synthesis DOI 10.1186/s12889-025-23006-,no
123,RES-0021,https://doi.org/10.1186/s12913-025-13170-1,1,Other (doi.org),BMC Health Services Research DOI 10.1186/s12913-025-13170-1,no
124,RES-0022,https://en.wikipedia.org/wiki/2026_Toronto_municipal_election,1,Other (en.wikipedia.org),Wikipedia 2026 Toronto municipal election; media coverage of campaign launch,no
125,RES-0024,https://en.wikipedia.org/wiki/Value_of_life,1,Other (en.wikipedia.org),Policy Research Initiative 2009 update of Chestnut et al 1999 as codified in Treasury Board guidance,no
126,RES-0025,https://factchecktoronto.ca/2021/06/07/shelter-violence/,1,City of Toronto (primary govt),FactCheckToronto citing City FOI response 2021-00378 and Toronto Star Jan 23 2021,no
127,RES-0027,https://fairrentontario.ca/why-rent-control/,1,Government of Ontario (primary govt),Fair Rent Ontario advocacy organization,no
128,RES-0029,https://fao-on.org/wp-content/uploads/Housing-and-Homelessness-Programs-EN.pdf,1,Ontario FAO,FAO — Housing and Homelessness Programs in Ontario (2021),yes
129,RES-0031,https://ghrc.ca/blog/ontario-minimum-wage-history/,1,Other (ghrc.ca),GHRC Staffing Solutions citing Ontario ESA; Peninsula Canada citing Ontario ESA,no
130,RES-0033,https://globalnews.ca/news/11612013/toronto-encampments-reduced/,1,News (other outlet),Global News November 2024; City of Toronto encampment tracking; CP24 January 2026,no
131,RES-0035,https://globalnews.ca/news/8199534/city-of-toronto-homeless-encampment-clearing-costs/,1,News (other outlet),Global News September 2021 citing City of Toronto official disclosure,no
132,RES-0036,https://greenhealthcare.ca/towards-a-safe-secure-and-sustainable-reusable-ppe-system/,1,Other (greenhealthcare.ca),Canadian Coalition for Green Health Care — Reusable PPE System Report (Dec 2023),yes
133,RES-0037,https://hart.ubc.ca/blog/hart-comments-on-ontarios-bill-23-more-homes-built-faster/,1,Other (hart.ubc.ca),"Housing Assessment Resource Tools (HART) UBC ""HART comments on Ontarios Bill 23"" May 2 2023",no
134,RES-0040,https://homelesshub.ca/blog/2025/eviction-prevention-pays-off-how-bc-rent-bank-saves-homes-and-government-dollars/,1,Sector nonprofit/network,BC Rent Bank Financial Analysis (via Homeless Hub),yes
135,RES-0041,https://homelesshub.ca/blog/2025/yes-its-cheaper-the-financial-case-for-homelessness-prevention/,1,Sector nonprofit/network,Unity Health Toronto — Lucie Richard 2024 Healthcare Cost Study,yes
136,RES-0042,https://homelesshub.ca/wp-content/uploads/2024/04/Appendix-A-Toronto.pdf,1,Sector nonprofit/network,Reaching Home Community Homelessness Report for Toronto 2019-2021,no
137,RES-0043,https://homelesshub.ca/wp-content/uploads/2025/04/Toronto-Community-Plan-2024-2028.pdf,1,Sector nonprofit/network,Reaching Home Toronto Community Plan 2024-2028,no
138,RES-0044,https://houselink.on.ca/whats-new/the-issues/,1,Other (houselink.on.ca),houselink.on.ca Research and Reports page,no
139,RES-0046,https://housing-infrastructure.canada.ca/homelessness-sans-abri/reports-rapports/data-shelter-2023-donnees-refuge-eng.html,1,Government of Canada (primary govt),Housing Infrastructure and Communities Canada National Shelter Study 2023 Update,no
140,RES-0047,https://housing-infrastructure.canada.ca/pd-dp/seea-eees/uhei-ilihrc-eng.html,1,Government of Canada (primary govt),Housing Infrastructure and Communities Canada program page,no
141,RES-0048,https://hsd.multco.us/emergency-shelters/day-centers/,1,Sector nonprofit/network,Multnomah County (Portland) Day Centers,yes
142,RES-0049,https://invisiblepeople.tv/number-of-homeless-canadians-admitted-to-correction-facilities-has-tripled-over-the-last-decade/,1,Other (invisiblepeople.tv),Invisible People citing John Howard Society of Canada; corroborated multiple sources,no
143,RES-0050,https://kmb.camh.ca/eenet/resources/what-is-housing-first,1,Other (kmb.camh.ca),CAMH EENet What is Housing First knowledge mobilization page written by team affiliated with origina,no
144,RES-0051,https://maytree.com/publications/poverty-rising-how-ontarios-strategy-failed-and-what-must-come-next/,1,Other (maytree.com),Maytree Foundation — Poverty Rising: How Ontario's Strategy Failed (July 2025),yes
145,RES-0052,https://michaelparsampp.ca/ontario-opens-nine-homelessness-and-addiction-recovery-treatment-hubs/,1,Other (michaelparsampp.ca),Ontario government announcement April 1 2025; multiple Task E models,no
146,RES-0053,https://news.ontario.ca/en,1,Government of Ontario (primary govt),Multiple Task E models; government press releases,no
