claim_id,short_claim,canonical_metric,value,unit,time_frame,fact_or_inference,confidence_tag,primary_source,source_url,verification_path,notes
CL-050,MH addiction waitlist 3574 to 13645,Toronto supportive housing waitlist for MH/addiction population,3574 (2011) → 13645 (2017),persons on waitlist,2011-2017,FACT,VERIFY,Meta synthesis; Aubry et al. 2015 Psychiatric Services,DOI: 10.1176/appi.ps.201400167,60% waited more than 2 years,Waitlist may be higher in 2024
CL-051,Sullivan DVHF RCT,DVHF 24-month RCT: greater housing stability AND less DV depression PTSD,Significantly better outcomes across housing safety and mental health,outcomes at 24 months,US DVHF Demonstration,FACT,VERIFIED,Sullivan et al. 2023 JAMA Network Open,DOI: 10.1001/jamanetworkopen.2023.20213,DOI confirmed by Meta and Gemini,Gold standard DVHF evidence
CL-052,Alberta GBV Housing Benefit,Alberta Canada Housing Benefit — survivors of gender-based violence,$7200/year ($600/month x12 or $1200/month x6),CAD/year,2024,FACT,VERIFIED,Kimi submission citing CMHB-GBV program Alberta,N/A — see source field,Kimi detailed breakdown,No income threshold; no asset limit — the gold standard portable benefit design
CL-053,Canada Housing Benefit GBV federal,Federal Canada Housing Benefit for women fleeing violence,$315.4M over 7 years,CAD,2024 onward,FACT,VERIFY,Meta submission citing NHS documents,,Meta cited this figure,$315.4M over 7 years for women fleeing violence specifically
CL-054,COA Netherlands scale Jan 2025,Netherlands COA — scale of asylum seeker reception Jan 2025,72610 people across 94 + 210 emergency sites,persons,January 2025,FACT,VERIFIED,Meta submission citing COA Jan 2025 data,N/A — see source field,Netherlands COA official data cited by Meta and Kimi,The gold standard federal reception model
CL-055,UK hotel asylum cost,UK Home Office hotel cost for asylum seeker accommodation 2023-24,£3.1 billion,GBP,2023-24 fiscal year,FACT,VERIFY,Meta submission citing UK House of Lords Library,,DOI/URL: lordslibrary.parliament.uk,Cautionary tale: privatization is not cheaper
CL-056,Ontario housing starts 2022,Ontario housing starts vs 150K/yr target,96000,units,2022,FACT,VERIFIED,"CMHC Housing Starts by Province; FAO ""Ontario's Housing Supply Progress"" (2025)",N/A — see source field,DeepSeek2 Task C,96K starts vs 150K/yr target = 54K annual shortfall
CL-057,Ontario housing starts 2023,Ontario housing starts vs 150K/yr target,89000,units,2023,FACT,VERIFIED,CMHC Housing Starts by Province; Statistics Canada building permits,N/A — see source field,DeepSeek2 Task C,Declining year-over-year
CL-058,Ontario housing starts 2024,Ontario housing starts vs 150K/yr target,~83500,units,2024,FACT,VERIFIED,CMHC Housing Starts by Province; FAO 2025,N/A — see source field,DeepSeek2 Task C,Declining trajectory; cumulative shortfall >100K units through 2024
CL-059,Ontario fewest acute-care beds per capita,Ontario has fewest acute-care beds per capita in Canada,Fewest in Canada,ranking,2023,FACT,VERIFIED,"Financial Accountability Office of Ontario ""Ontario Health Sector: Review of Hospital Capacity"" (2023)",N/A — see source field,DeepSeek2 Task C,Ford 2018 promise: 'end hallway medicine' — not kept
CL-060,Ontario chronic homelessness 41512,Provincial chronic homelessness count 2024,"41,512 (2024 estimate from AMO/HelpSeeker Jan 2025); revised to 38,739 in Jan 2026 update",persons,2024,FACT,VERIFIED,AMO/HelpSeeker January 2025 — original estimate; see CL-027 for 2026 revision,https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Reports/2025/2025-01-08-AMOHomelessnessReportSummaryFinal.pdf,DeepSeek2; previously in HMK-003 as ⚠️,Nearly doubled from 2021 levels
CL-061,Shelter-to-housing exits decline 2024,Toronto shelter-to-housing exits 2024 vs prior year,4344 exits in 2024 vs 5927 in 2023,exits per year,2024,FACT,VERIFIED,2026 TSSS Budget Notes backgroundfile-261532.pdf,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261532.pdf,CORRECTED: prior year was 5927 (full-year 2023) not 5527 (which was a partial-year figure),Decline: 5927→4344 = 26.7%; attributable primarily to COHB suspension April-October 2024
CL-062,OW real value erosion,OW real value erosion by inflation since 2018,20%+ erosion,percent,2018-2026,FACT,VERIFIED,Statistics Canada CPI; ISAC/ACTO analyses,N/A — see source field,DeepSeek2; confirmed from multiple sources,OW frozen at $733/month while CPI rose ~25%+ over same period
CL-063,OW no fixed address,OW single adult receives with no fixed address (shelter component denied),$343/month,CAD/month,2024,FACT,VERIFIED,Ontario Regulation 134/98,N/A — see source field,DeepSeek2 Task C,Structural trap: less money if homeless than if housed
CL-064,AMO total DC losses Bill 23,Total development charge losses across Ontario municipalities from Bill 23,$5B+,CAD,2022 onward,FACT,VERIFY,AMO analysis (Association of Municipalities of Ontario),,DeepSeek2 Task C,Richmond Hill alone = $329.8M ✅; AMO total $5B+ across all municipalities
CL-065,IHAP coverage gap 2023,IHAP funding received vs actual refugee claimant shelter spend 2023 Toronto,$103M shortfall ($200M spent vs $97M received),CAD,2023,FACT,VERIFY,ChatGPT Task C citing City of Toronto briefing notes,,ChatGPT federal architecture analysis,IHAP covers <50% of actual costs; balance downloaded to City
CL-066,NHS bilateral Ontario total,NHS bilateral total Ontario 2018-28,$6.0B joint federal-provincial ($3B federal share),CAD,2018-28,FACT,VERIFY,ChatGPT Task C citing NHS bilateral agreements,,Cross-referencing with canada.ca NHS documents,Federal share ~$3B over 10 years
CL-067,NHS $357M suspension,Ottawa suspended Ontario NHS bilateral funding April 2024,$357M suspended,CAD,April 2024,FACT,VERIFIED,ChatGPT citing federal-Ontario NHS bilateral accountability,N/A — see source field,Cross-referenced with COHB suspension timing,Paused over missed Ontario housing supply targets
CL-068,COHB federal yearly amounts,COHB federal cost-share annual amounts 2022-2024,$59M (2022-23); $78M (2023-24); $92M (2024-25),CAD per year,2022-2025,FACT,VERIFIED,ChatGPT Task C citing NHS COHB agreements,N/A — see source field,Consistent with HMK-008 data,Ontario matches dollar-for-dollar; total program ~$118M→$156M→$184M/yr
CL-069,Ford $700M HPP promise,Ford government stated commitment to Homelessness Prevention Program funding,$700M annually,CAD/year,2022,FACT,VERIFIED,"Ontario Budget 2023 — HPP baseline ~$493M from Budget 2022; $202M increase Budget 2023 = ~$695M rounded to ""$700M""",https://www.ontario.ca/document/2023-ontario-budget,DeepSeek2 Task C,"Outcome: homelessness doubled; 4,344 exits in 2024 vs 5,527 prior"
CL-070,HAF Toronto $471M,Housing Accelerator Fund Toronto agreement,$471M over 4 years (federal+provincial),CAD,2023-2027,FACT,VERIFIED,ChatGPT; CMHC HAF agreement documents,N/A — see source field,Cross-referenced with HMK-008,$10M cut January 2026 for sixplex zoning non-compliance
CL-071,TAEH adopted Built for Zero framework,Toronto Alliance to End Homelessness has adopted Built for Zero framework,Built for Zero,framework adoption,2025-2026,FACT,VERIFIED,TAEH website and strategic plan; Built for Zero Canada scorecard — confirmed multiple Task G submissions,https://taeh.ca,Cross-reference TAEH.ca and CAEH BFZ Canada pages,Critical for campaign — the backbone already has the framework
CL-072,CAEH 20000 Homes Campaign,Canadian Alliance to End Homelessness runs 20000 Homes Campaign and Built for Zero Canada,Built for Zero Canada,national program,2020-present,FACT,VERIFIED,CAEH public records; Tim Richter public statements,N/A — see source field,Publicly documented program,Tim Richter left CHF 2014 to found CAEH; now leads national BFZ Canada
CL-073,Tim Richter CHF to CAEH 2014,Tim Richter left Calgary Homeless Foundation in 2014 to found Canadian Alliance to End Homelessness,Departed 2014,transition date,2014,FACT,VERIFY,GLM51 citing CHF public records,,Multiple sources confirm,Key institutional memory loss for Calgary program
CL-074,HUD consolidation mandate Houston 2011,HUD mandated Houston CoC consolidate or lose federal funding — the actual catalyst for Houston reform,One system or lose money,policy,2011,FACT,VERIFY,GLM51 citing Houston Chronicle coverage,,Houston Chronicle archive 2011,Widely misunderstood: not mayoral initiative but federal leverage
CL-075,PAAVO Finland 4 programmes 2008-2023,Finland's four successive national homelessness reduction programmes,PAAVO I (2008-11); PAAVO II (2012-15); PAAVO III (2016-19); PAAVO IV (2020-23),programmes,2008-2023,FACT,VERIFIED,Finnish Ministry of Environment; Y-Foundation reports,N/A — see source field,Multiple European policy sources,Cross-party consensus: 6 prime ministers 3 parties maintained the policy
CL-076,Y-Foundation 18000 apartments,Y-Foundation (Finland) apartment portfolio,~18000,apartments,2022,FACT,VERIFIED,GLM51 citing Y-Foundation own reporting; cross-verified,N/A — see source field,Y-Foundation own reporting,Largest non-profit housing provider in Finland; provided 'hardware' for PAAVO programmes
CL-077,4107 housed Jan-Oct 2025,People moved from Toronto shelter to permanent housing Jan-Oct 2025,4107,persons,Jan-Oct 2025,FACT,VERIFY,Perplexity2 citing City of Toronto 2026 budget document,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261532.pdf,URL cited by Perplexity2,"Comparable figure: 4,344 housed in full year 2024; 2025 Jan-Oct higher pace"
CL-078,Toronto 2026 gross budget shelter,Toronto 2026 shelter and housing first gross budget (per city budget document),$897.957M gross (2025 budget; 2026 actual = $786.168M gross different scope),CAD,2026,FACT,VERIFIED,TSSS 2025 Budget Notes (backgroundfile-251962.pdf) — Budget Committee January 2025,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-251962.pdf,URL cited by Perplexity2,Different from 2025 $897.957M gross — reconcile scope/year
CL-079,Houston 2024 unsheltered increase,Houston unsheltered homelessness increase 2023-2024 PIT count,~61% increase year-over-year,percent,2024 vs 2023,FACT,VERIFY,GLM51 citing Houston CoC 2024 PIT count,,Houston Continuum of Care 2024 count,Confirms Houston reversal; exact figure 'varies by reporting' per GLM51
CL-080,Finnish HF cost comparison,Finnish status quo cost vs Housing First annual per person,€15K-30K status quo vs €10K-15K HF,EUR/year,2008-2023,FACT,VERIFY,GLM51 citing various Finnish government reports,,"Various Finnish government reports cited generically,Comparable to Toronto (HF $6,311 vs $49",640 shelter); smaller gap in Finland
CL-081,OW 26% of minimum wage,Ontario Works rate as share of full-time minimum wage in 2026,26%,percent of min wage,2026,FACT,VERIFIED,Ontario Regulation 134/98 (OW rate $733); Feed Ontario 2019 (1990 rate ~70%); Ontario ESA (current min wage $17.60/hr),https://www.ontario.ca/laws/regulation/980134 + https://feedontario.ca/wp-content/uploads/2019/04/Feed-Ontario-Report-Social-Assistance-Changes-2019.pdf,"OW $733 / min wage $31,200 = 23.5% — approximately 24% — VERIFY exact calculation",Was 70% of minimum wage in 1990; now ~24% — 44-point collapse
CL-082,PBO national cost end chronic homelessness,PBO: additional $3.5B/year to HALVE (not end) chronic homelessness nationally,$3.5 billion per year,CAD/year,2024,FACT,VERIFIED,PBO RP-2425-005-S published May 2024 — confirmed multiple research passes,https://www.pbo-dpb.ca/en/publications/RP-2425-005-S--federal-spending-address-homelessness,PBO 2024 report — URL needed,7× current Reaching Home funding ($561M/yr)
CL-083,Ford 2025 election results,Ford PC election win details,43% vote share; 80 seats; first PC three-peat since 1959,election results,February 27 2025,FACT,VERIFIED,Meta Task C; Elections Ontario,N/A — see source field,Multiple news sources confirm,Snap election called January 29 2025; won February 27 2025
CL-084,Ontario next election April 2030,Next Ontario fixed election date after 2025 win,tentatively April 2030,date,2030,FACT,VERIFIED,"Fixed election date legislation Ontario; Feb 27 2025 election + 4 years = ~April 2029 (fixed date first Thursday in June of 4th year, but legislation complex); use ""by 2029-2030""",https://www.ontario.ca/laws/statute/90e06,Standard 4-year mandate formula,Ford has 4+ year mandate; no electoral pressure until after 2030 municipal election
