document,lines,claim_count,citations_status,citations_notes,readability_status,readability_notes,last_updated
MAIN_HMK_032_Non_Citizen_Populations_Federal_Funding.md,130,22,PARTIAL,"5 of 22 claims checked (National Shelter Study 5.1%/2.0%/6.6%, Bill C-12 30k/196k figures) - all confirmed accurate",NOT_NEEDED,"assessed July 3 - already clean, labeled ADDENDUM-style sections are genuine substance not clutter",2026-07-03
MAIN_HMK_033_Master_Recommendation_Cost_Benefit_Matrix.md,128,0,PARTIAL,"Fixed a stale header count (""All 45 Recommendations"") - unlike HMK-019, this table actual row coverage was already complete at all 50 current recommendation codes (M/P/F/S/PS/DT), confirmed by direct count. Verified the S-10 mental health reinvestment calculation inputs exactly: Ontario 2026 healthcare budget ($101.2B, a record, confirmed across multiple independent sources) and the Roadmap to Wellness $3.8B/10-year commitment (confirmed exactly). The derived ~$3.0B/year funding gap calculation checks out. Both source figures already properly logged (CL-416/417). This document has excellent built-in discipline - an explicit ""do not sum the columns"" warning against a hostile-fact-check-vulnerable aggregate ROI claim.",NOT_NEEDED,"assessed - sparse, substantive status updates on research gaps",2026-07-04
MAIN_HMK_034_TSSS_Financial_Baseline.md,112,0,PARTIAL,"Verified the core 2025 baseline figures exactly against the primary TSSS Budget Notes PDF ($897.957M gross/$656.778M revenue/$241.178M net, 1,497.5 staff positions, $904.517M capital budget) - word for word matches. Confirmed the older $487.543M/$488.956M 2024 net figures genuinely reflect a different (pre-reorganization SSHA) scope, exactly as this document itself explains, not an error. Audited whether the required HMK-008 correction was actually implemented (not just claimed) - confirmed it was, precisely, including the exact 26.9% net-share percentage. Added two new claims (CL-774/775) for genuinely new findings not previously logged: the 1.2% federal/provincial capital-financing share and the primary-sourced 1,497.5 staff figure.",NOT_NEEDED,assessed - sparse process language,2026-07-04
MAIN_HMK_035_Public_Space_Homelessness_Costs.md,127,14,PARTIAL,"TTC 2026 budget figures confirmed exactly against the actual TTC budget presentation PDF, down to individual line items (2023 breakdown, $26.2M safety/security/wellbeing 2026) - already properly logged (CL-396/399/400)",NOT_NEEDED,assessed July 3 - twelfth consecutive clean result,2026-07-03
MAIN_HMK_036_Daytime_Destinations_Engagement.md,94,6,PARTIAL,"Verified the STAR/Durbin et al. 2021 study exactly (identity, authors, DOI, primary outcome measure). Found a genuine addition (not a correction): a post-hoc dose-response finding (14+ hours of participation showed significant improvement) that this library did not previously have - added as CL-766, flagged as worth incorporating into a future HMK-036 revision since it nuances rather than contradicts the existing careful ""tentative, not yet proven"" framing.",NOT_NEEDED,"assessed July 3 - sparse process language, substantive on inspection",2026-07-03
MAIN_HMK_037_Workforce_Employment_Analysis.md,75,0,PARTIAL,"Verified the core Statistics Canada homelessness support sector figures exactly, word-for-word, against StatCans own publication: 10,130 workers nationally, Toronto CMA 1,580 (15.6% - largest single-city share), 73.8% women, the precise +132.8% growth in the 15-24 age cohort. This document explicitly refuses to manufacture a false combined total (citing its own prior discipline from HMK-029 Part 8) - a genuinely disciplined methodological choice. All core findings already properly logged (CL-402/403/405) - no gaps found. This is the final HMK document in the combined workflow queue.",NOT_NEEDED,assessed - sparse process language,2026-07-04
MAIN_HMK_038_Historical_Cost_Escalation_Analysis.md,393,8,PARTIAL,"This document is itself an exceptional model of self-auditing rigor - extensive built-in ✅/⚠️ marking, explicit self-corrections, and an honest disclosure of its own three bare-domain (non-)citations (CL-556/557/558). Independently re-verified the single most load-bearing figure (the $52.13 2010 per diem baseline) directly against the primary staff report PDF - confirmed exactly not just at the headline level but the entire granular appendix breakdown (every individual shelter rate matched word-for-word: Dixon Hall $56.35, Homes First $50.00/$33.05/$39.35, Fred Victor $63.00, etc.), plus the 2009 baseline ($51.25, not the derived $51.23), the funding shortfall ($31.4M), and bed-night counts (935,735). All self-cited claim IDs (CL-542/544/545/552/556/557/558) confirmed to exist and match. This document sets a genuinely high bar; verification here mostly confirmed work already done to a very high standard rather than finding new errors.",DONE,previously fully cleaned - one of the two established example documents for this initiative,2026-07-03
MAIN_HMK_039_Gaetz_COH_Research_Synthesis.md,235,17,PARTIAL,"Verified the highest-stakes claim (Ontario 2015 Expert Advisory Panel, Gaetz named member, chronic-homelessness-by-2025 target) exactly across multiple independent sources - a real government accountability claim. Also confirmed the $43.788B federal ask. Both already properly logged (CL-641, CL-619/634). Document has exceptional built-in self-verification throughout (dozens of direct-fetch confirmations and honest unconfirmed-flags already present).",PARTIAL,previously partially cleaned per earlier session note - not re-assessed this pass,2026-07-03
MAIN_HMK_040_Legal_International_Standards.md,234,27,PARTIAL,"2 of 27 claims checked (Bill 6 74-39 vote, OECD $1.44 USD correction) - both confirmed accurate",NOT_NEEDED,"assessed July 3 - well-organized despite length, external-submission review section is substantive not noise",2026-07-03
MAIN_HMK_041_Two_Key_Shelter_Operator_Case_Studies.md,404,30,PARTIAL,"13 of 29 claims checked (shared sample w/ HMK-027 pass), all confirmed",NOT_ASSESSED,,2026-07-03
MAIN_DERIV_015_Declining_Shelter_Cost_Transparency.md,64,3,PARTIAL,"First DERIV document checked. This is a well-constructed standalone ""absence"" finding, built from HMK-038 material already deeply verified earlier this session. Attempted to independently re-confirm the specific $75.75 (St. Vincent de Paul - Amelie) highest-rate figure from the 2010 per diem schedule - could not re-surface this specific figure in a search this pass, though the source document itself and its general structure were already verified as legitimate during the HMK-038 check. Noted honestly rather than assumed. The document own $146/night figure is already correctly flagged as unconfirmed (CL-564) by the document itself - appropriate hedging already in place.",NOT_NEEDED,"assessed - ""Layer 1-4"" structure is substantive organization, not clutter",2026-07-04
MAIN_DERIV_014_Compassion_Narrative.md,75,12,PARTIAL,"Draws almost entirely on figures already confirmed exactly elsewhere this session (JHSO 7,455/17.3%, At Home/Chez Soi 73%/32%, SNA 58%/31%, ICES $12,209/6.9x, TTC $26.2M, daytime drop-in $14.4M). Verified the two genuinely new claims: the SNA 3,682-person sample size and its ""affordable housing/RGI was the top prevention factor"" finding - both confirmed exactly. Found a gap - no ledger entry for this specific sample-size/ranking fact - added as CL-776.",NOT_NEEDED,"assessed - campaign talking-points document, appropriately structured for its purpose",2026-07-04
MAIN_DERIV_013_Volunteer_Quick_Ref.md,81,10,PARTIAL,"A real near-miss this pass, caught before pushing: web searches failed to find the ""1,583 people / 27%"" COHB-delay figure, so it was briefly replaced with an alternative before checking MAIN_TRACK_003 and MAIN_REVIEW_005 own history, which showed the original figures (5,927 to 4,344, exactly 1,583 people, exactly 26.7%) were already vetted through this library own internal Opus review process. Independently confirmed the 4,344 (2024) figure directly against the primary SNA report. Reverted the incorrect edit before committing, added a proper ledger entry (CL-777) since this precise, important figure - referenced across 8+ documents - had none. Same lesson as the earlier HMK-015 near-miss: check this library own correction history before treating a failed search as evidence of a false claim.",NOT_NEEDED,"assessed - a volunteer quick-reference card, appropriately structured",2026-07-04
MAIN_DERIV_010_Five_Facts.md,90,5,PARTIAL,"Verified all 5 cards. Confirmed Bill 28 (Homelessness Ends with Housing Act) exists and was defeated as described, but fixed ambiguous phrasing (""passed a bill through debate"") that could be misread as the bill succeeding when it was actually voted down - now explicit. Confirmed Card 5s 21% Toronto decrease and 7.8% province-wide increase figures exactly against the Citys own SNA page and CBC/AMO direct reporting. The 1,583/26.7% COHB figures in Card 3 already match the confirmed, correctly-sourced values verified during the DERIV-013 near-miss earlier this session - good consistency check, no fix needed. All facts already properly logged.",NOT_NEEDED,"assessed - zero process-language markers, a clean campaign-card document",2026-07-04
MAIN_DERIV_016_Public_Opinion_Messaging_Research.md,129,25,PARTIAL,"An exceptionally rigorous, already extensively self-auditing document (8-source cross-validation, explicit error-flagging, self-correction of its own first draft). Deep-verified Part 3 (the Nov 13 2025 MM34.4 council vote) directly against the Citys own official record - EVERY detail confirmed exactly: the 16-3-7 final vote with every name in order, the 20-6-0 waive-referral vote confirming Chow present+yes early then absent for later votes, and Bradfords precise no-then-yes voting sequence. This is about as precise as verification gets. Added enriching context (Bradfords own ""5%"" quote, Moise/Perks floor opposition) confirmed against CP24 direct reporting. All facts already properly logged across 4+ ledger entries.",NOT_NEEDED,"assessed - exceptionally well-organized, all process language is substantive methodology documentation",2026-07-04
MAIN_DERIV_011_Follow_The_Money.md,138,40+,PARTIAL,"An extraordinarily dense document, already through many internal verification rounds this session (YWCA date fix, Homes First overhead correction, WoodGreen capitalization sweep, all fixed earlier). This pass: confirmed the Canadian Red Cross contract figures ($60,137,629 to $74,095,341, contract 47024284) exactly, word-for-word, dollar-for-dollar against the primary Council agenda item. Attempted to confirm WoodGreen CEO Anne Babcocks specific 2025 salary ($358,492) - could only independently confirm the 2024 figure ($335,576.88) across multiple aggregators; the 2025 figure is plausible given the trend but not independently re-confirmed, flagged honestly in both the document and CL-508 rather than asserted or silently accepted.",NOT_NEEDED,"assessed - dense but every passage is substantive research documentation, an exceptional document",2026-07-04
MAIN_DERIV_001_Wave1_Campaign_Assets.md,156,30+,PARTIAL,"Found a real, live error in Tier 5s table: ""82%"" opioid-overdose-call increase, when this librarys own extensive prior work established the correct figure is ~119% (CBCs own cited raw numbers, 160-350, produce 118.75% - CBCs own ""82%"" framing is itself an arithmetic error). SELF-CAUGHT NEAR-MISS: initially ""corrected"" Tier 4 from the correct 119% back to the wrong 82%, trusting a secondary CBC article without checking the underlying math myself - caught via this library own correction history (TRACK_003/005) before pushing, reverted, then fixed the ACTUAL error (Tier 5s table) instead. Also found and fixed a genuine regression-test gap: test 2.16 required the literal word ""overdose"" nearby, but this table said ""Opioid calls"" - closed by broadening the regex. Also verified the FAO 0.1%/year real-terms housing spending stagnation figure exactly, added as CL-778.",NOT_NEEDED,"assessed - dense campaign-ready content, no clutter",2026-07-04
MAIN_DERIV_009_Ford_Accountability_Timeline.md,160,30+,PARTIAL,"Already correctly uses 119% (not 82%) for the opioid-overdose figure, confirming the DERIV-001 fix propagated correctly. Found and fixed a real error in the scorecard table: ""1,615 people unsheltered (1,446 sleeping directly outdoors; 646 in encampments)"" - the parenthetical sums to 2,092, not 1,615, and appears to conflate the Oct 2024 headline total with a different datasets components; no primary source confirms this specific sub-breakdown for Oct 2024. Propagated the same fix to 5 more documents (DERIV-007/008, HMK-001/003, REF-002). CL-177 already appropriately hedges a related but distinct tension (1,446 primary-source vs 1,615 media-reported as the headline total) - not re-litigated in this pass, the fix here concerns the unconfirmed sub-breakdown specifically, valid regardless of which headline total is preferred.",NOT_NEEDED,"assessed - dense timeline content, no clutter",2026-07-04
MAIN_DERIV_005_Campaign_Fact_Sheet.md,169,55+,PARTIAL,"Resolved a previously-flagged open item from earlier this session: the Northern Ontario ""+204% since 2016 (1,771->5,377)"" figure. Confirmed word-for-word exactly against the original January 2025 AMO/HelpSeeker report (via NOSDA/RRDSSAB press release quoting it directly) - a real, accurate figure, distinct from (not contradicting) a different 117.5%/2021-2025 Northern Ontario growth figure from a later report edition. Added as CL-779, closing the open item. Already correctly uses 119% for the opioid figure and 105,115/applications for the waitlist figure, confirming earlier fixes propagated correctly. This document is itself already exceptionally disciplined - has its own ""what is NOT in this document"" section explicitly listing removed unverifiable claims.",NOT_NEEDED,"assessed - dense tabular fact sheet, no clutter",2026-07-04
