stem,kinds
dark-talent-future-of-work,backgrounder|card|dayone
dark-talent-future-of-work_toronto,brief
data-privacy-municipal-info-governance,backgrounder|card|dayone
data-privacy-municipal-info-governance_toronto,brief
deep-poverty-income-security,backgrounder|card|dayone
deep-poverty-income-security_toronto,brief
development-charges-building-permits,backgrounder|card|dayone
development-charges-building-permits_toronto,brief
digital-equity-connectivity,backgrounder|card|dayone
digital-equity-connectivity_toronto,brief
disability-accessibility-inclusion,backgrounder|card|dayone
disability-accessibility-inclusion_toronto,brief
disability-accessibility-universal-design,backgrounder|card|dayone
disability-accessibility-universal-design_toronto,brief
downtown-main-street-revitalization,backgrounder|card|dayone
downtown-main-street-revitalization_toronto,brief
education-reimagined-k12,backgrounder|card|dayone
education-reimagined-k12_toronto,brief
egaming-esports-strategy,backgrounder|card|dayone
egaming-esports-strategy_toronto,brief
encampment-clearance-policy-costs,backgrounder|card|dayone
encampment-clearance-policy-costs_toronto,brief
family-doctors-primary-care-crisis,backgrounder|card|dayone
family-doctors-primary-care-crisis_toronto,brief
fare-free-transit,backgrounder|card|dayone
fare-free-transit_toronto,brief
fire-paramedic-response,backgrounder|card|dayone
fire-paramedic-response_toronto,brief
food-security-income-link,backgrounder|card|dayone
food-security-income-link_toronto,brief
free-gift-economy-decommodification,backgrounder|card|dayone
free-gift-economy-decommodification_toronto,brief
gender-equity-womens-safety,backgrounder|card|dayone
gender-equity-womens-safety_toronto,brief
geopolitical-resilience-trade-shocks,backgrounder|card|dayone
geopolitical-resilience-trade-shocks_toronto,brief
gig-economy-precarious-work,backgrounder|card|dayone
gig-economy-precarious-work_toronto,brief
government-corruption-transparency,backgrounder|card|dayone
government-corruption-transparency_toronto,brief
government-that-works-basics,backgrounder|card|dayone
government-that-works-basics_toronto,brief
gun-gang-youth-violence-prevention,backgrounder|card|dayone
gun-gang-youth-violence-prevention_toronto,brief
healthiest-population-prevention,backgrounder|card|dayone
healthiest-population-prevention_toronto,brief
heritage-preservation-built-form,backgrounder|card|dayone
heritage-preservation-built-form_toronto,brief
homelessness-accountability-complaints,backgrounder|card|dayone
homelessness-accountability-complaints_toronto,brief
homelessness-advocacy-research-ecosystem,backgrounder|card|dayone
homelessness-advocacy-research-ecosystem_toronto,brief
homelessness-business-community-overlay,backgrounder|card|dayone
homelessness-business-community-overlay_toronto,brief
homelessness-daytime-destinations,backgrounder|card|dayone
homelessness-daytime-destinations_toronto,brief
homelessness-economic-roi,backgrounder|card|dayone
homelessness-economic-roi_toronto,brief
homelessness-encampments,backgrounder
homelessness-federal-funding-architecture,backgrounder|card|dayone
homelessness-federal-funding-architecture_toronto,brief
homelessness-full-cost-accounting,backgrounder|card|dayone
homelessness-full-cost-accounting_toronto,brief
homelessness-functional-zero-case-studies,backgrounder|card|dayone
homelessness-functional-zero-case-studies_toronto,brief
homelessness-gender-based-violence,backgrounder|card|dayone
homelessness-gender-based-violence_toronto,brief
homelessness-hospital-discharge-cycle,backgrounder|card|dayone
homelessness-hospital-discharge-cycle_toronto,brief
homelessness-housing-first-model,backgrounder|card|dayone
homelessness-housing-first-model_toronto,brief
homelessness-indigenous-overrepresentation,backgrounder|card|dayone
homelessness-indigenous-overrepresentation_toronto,brief
homelessness-international-comparators,backgrounder|card|dayone
homelessness-international-comparators_toronto,brief
homelessness-legal-rights-frameworks,backgrounder|card|dayone
homelessness-legal-rights-frameworks_toronto,brief
homelessness-ltb-eviction-prevention,backgrounder|card|dayone
homelessness-ltb-eviction-prevention_toronto,brief
homelessness-master-recommendations,backgrounder|card|dayone
homelessness-master-recommendations_toronto,brief
homelessness-mortality-overdose-data,backgrounder|card|dayone
homelessness-mortality-overdose-data_toronto,brief
homelessness-non-citizen-populations,backgrounder|card|dayone
homelessness-non-citizen-populations_toronto,brief
homelessness-political-economy,backgrounder|card|dayone
homelessness-political-economy_toronto,brief
homelessness-population-estimate-methodology,backgrounder|card|dayone
homelessness-population-estimate-methodology_toronto,brief
homelessness-population-specific-pathways,backgrounder|card|dayone
homelessness-population-specific-pathways_toronto,brief
homelessness-provincial-funding-hpp-hart,backgrounder|card|dayone
homelessness-provincial-funding-hpp-hart_toronto,brief
homelessness-public-space-costs,backgrounder|card|dayone
homelessness-public-space-costs_toronto,brief
homelessness-refugee-claimant-exclusion,backgrounder|card|dayone
homelessness-refugee-claimant-exclusion_toronto,brief
homelessness-root-causes,backgrounder|card|dayone
homelessness-root-causes_toronto,brief
homelessness-ward-geographic-inventory,backgrounder|card|dayone
homelessness-ward-geographic-inventory_toronto,brief
homelessness-youth-shelter-capacity,backgrounder|card|dayone
homelessness-youth-shelter-capacity_toronto,brief
housing-supply-affordability,backgrounder|card|dayone
housing-supply-affordability_guelph-wellington,brief
housing-supply-affordability_toronto,brief
housing-supply-affordability_v1.1_SNAPSHOT_2026-08-08_pre-merge,backgrounder
housing-supply-affordability_v1.1_SNAPSHOT_2026-08-08_pre-playbook,card
immigration-diaspora-economy,backgrounder|card|dayone
immigration-diaspora-economy_toronto,brief
immigration-integrity-exploitation,backgrounder|card|dayone
immigration-integrity-exploitation_toronto,brief
immigration-mutual-learning-integration,backgrounder|card|dayone
immigration-mutual-learning-integration_toronto,brief
indigenous-priorities-suite,backgrounder|card|dayone
indigenous-priorities-suite_toronto,brief
indigenous-relations-reconciliation,backgrounder|card|dayone
indigenous-relations-reconciliation_toronto,brief
innovating-city-government-inertia,backgrounder|card|dayone
innovating-city-government-inertia_toronto,brief
intergenerational-connection,backgrounder|card|dayone
intergenerational-connection_toronto,brief
international-students-recent-grads,backgrounder|card|dayone
international-students-recent-grads_toronto,brief
joyful-city-nightlife-festivals,backgrounder|card|dayone
joyful-city-nightlife-festivals_toronto,brief
libraries-civic-commons,backgrounder|card|dayone
libraries-civic-commons_toronto,brief
local-economy-main-streets-small-business,backgrounder|card|dayone
local-economy-main-streets-small-business_toronto,brief
local-services-libraries-animal-control,backgrounder|card|dayone
local-services-libraries-animal-control_toronto,brief
long-term-care-seniors-services,backgrounder|card|dayone
long-term-care-seniors-services_toronto,brief
mental-health-crisis-response,backgrounder|card|dayone
mental-health-crisis-response_toronto,brief
mental-wellbeing-flourishing,backgrounder|card|dayone
mental-wellbeing-flourishing_toronto,brief
mobility-congestion-transit,backgrounder|card|dayone
mobility-congestion-transit_toronto,brief
most-educated-population-learning-city,backgrounder|card|dayone
most-educated-population-learning-city_toronto,brief
municipal-autonomy-new-deal,backgrounder|card|dayone
municipal-autonomy-new-deal_toronto,brief
municipal-climate-endowments,backgrounder
municipal-governance-accountability,backgrounder|card|dayone
municipal-governance-accountability_toronto,brief
nature-biodiversity-ravines,backgrounder|card|dayone
nature-biodiversity-ravines_toronto,brief
newcomer-settlement-shelter-pressure,backgrounder|card|dayone
newcomer-settlement-shelter-pressure_toronto,brief
newcomer-success-credential-recognition,backgrounder|card|dayone
newcomer-success-credential-recognition_toronto,brief
ontario-works-rate-history-erosion,backgrounder|card|dayone
ontario-works-rate-history-erosion_toronto,brief
opioid-crisis-public-health-response,backgrounder|card|dayone
opioid-crisis-public-health-response_toronto,brief
parking-policy-management,backgrounder|card|dayone
parking-policy-management_toronto,brief
parks-recreation-access,backgrounder|card|dayone
parks-recreation-access_toronto,brief
participatory-budgeting-outcomes,backgrounder|card|dayone
participatory-budgeting-outcomes_toronto,brief
police-accountability-oversight,backgrounder|card|dayone
police-accountability-oversight_toronto,brief
pro-sport-ownership-civic-power,backgrounder
property-tax-municipal-finance,backgrounder|card|dayone
property-tax-municipal-finance_toronto,brief
public-health-emergency-resilience,backgrounder|card|dayone
public-health-emergency-resilience_toronto,brief
public-realm-cleanliness-maintenance,backgrounder|card|dayone
public-realm-cleanliness-maintenance_toronto,brief
purok-hyperlocal-organizing,backgrounder|card|dayone
purok-hyperlocal-organizing_toronto,brief
real-estate-financialization,backgrounder|card|dayone
real-estate-financialization_toronto,brief
regional-governance-gta,backgrounder|card|dayone
regional-governance-gta_toronto,brief
regional-transportation-integration,backgrounder|card|dayone
regional-transportation-integration_toronto,brief
rental-market-tenant-protections,backgrounder|card|dayone
rental-market-tenant-protections_toronto,brief
road-safety-vision-zero,backgrounder|card|dayone
road-safety-vision-zero_toronto,brief
shelter-central-intake-failure,backgrounder|card|dayone
shelter-central-intake-failure_toronto,brief
shelter-cost-per-bed-night,backgrounder|card|dayone
shelter-cost-per-bed-night_toronto,brief
shelter-operator-case-studies,backgrounder|card|dayone
shelter-operator-case-studies_toronto,brief
shelter-operator-financial-profiles,backgrounder|card|dayone
shelter-operator-financial-profiles_toronto,brief
shelter-procurement-subcontracting,backgrounder|card|dayone
shelter-procurement-subcontracting_toronto,brief
shelter-security-contracting,backgrounder|card|dayone
shelter-security-contracting_toronto,brief
shelter-system-capacity-strain,backgrounder|card|dayone
shelter-system-capacity-strain_toronto,brief
shelter-workforce-conditions-labour,backgrounder|card|dayone
shelter-workforce-conditions-labour_toronto,brief
short-term-rental-regulation,backgrounder|card|dayone
short-term-rental-regulation_toronto,brief
social-housing-waitlist-data,backgrounder|card|dayone
social-housing-waitlist-data_toronto,brief
sports-recreation-active-city,backgrounder|card|dayone
sports-recreation-active-city_toronto,brief
supercharging-clubs-groups-gatherings,backgrounder|card|dayone
supercharging-clubs-groups-gatherings_toronto,brief
tchc-vacancy-capital-backlog,backgrounder|card|dayone
tchc-vacancy-capital-backlog_toronto,brief
urban-agriculture-food-systems,backgrounder|card|dayone
urban-agriculture-food-systems_toronto,brief
urban-beautification-public-art,backgrounder|card|dayone
urban-beautification-public-art_toronto,brief
utility-rates-water-hydro,backgrounder|card|dayone
utility-rates-water-hydro_toronto,brief
vacant-home-tax-effectiveness,backgrounder|card|dayone
vacant-home-tax-effectiveness_toronto,brief
warming-centres-winter-respite,backgrounder|card|dayone
warming-centres-winter-respite_toronto,brief
waste-management-diversion,backgrounder|card|dayone
waste-management-diversion_toronto,brief
water-great-lakes-stewardship,backgrounder|card|dayone
water-great-lakes-stewardship_toronto,brief
water-wastewater-broadband-infrastructure,backgrounder|card|dayone
water-wastewater-broadband-infrastructure_toronto,brief
web3-dao-civic-coordination,backgrounder|card|dayone
web3-dao-civic-coordination_toronto,brief
winter-maintenance-snow-ice,backgrounder|card|dayone
winter-maintenance-snow-ice_toronto,brief
worker-cooperatives-community-wealth,backgrounder|card|dayone
worker-cooperatives-community-wealth_toronto,brief
youth-opportunity-post-jobs-belonging,backgrounder|card|dayone
youth-opportunity-post-jobs-belonging_toronto,brief
