source_program,source_file,source_id,source_kind,question
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB88,bank,"[EXT] Financial-system fragility as a fund-design input (PROJ-0063 context, PROJ-0062 tech). His Seed 2: ""can the current financial system continue as it is? is it not incredibly unstable?"" ⚠️ This is contested — published sources argue both fragility and resilience, and PROJ-0062/0063 own the deep treatment. ABUNDANCE's DESIGN question only: if there's a real chance the old system is fragile, does that make the fund's parallel-rails redundancy (a commons that can function even if the old system stutters) a *resilience feature* rather than a crypto-ideology choice — and how does the fund build backup capacity without becoming a doomsday prepper burning present resources on a collapse that ma"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB89,bank,"[EXT] What does ""sovereign wealth"" mean on land that was never ceded? A fund calling itself *sovereign* on treaty territory has to answer the sovereignty question honestly — whose sovereignty, over whose wealth, from whose land? Through the protocol (PROJ-0058), is the honest design that Indigenous nations are co-owners of the fund's land-and-resource assets from day one, not beneficiaries of its charity — and ⚠️ what published precedents (resource-revenue-sharing agreements, Indigenous trusts and own-source-revenue structures) does the protocol point to as the models to study? This question is flagged for the protocol to lead, not for the fleet to answer."
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB90,bank,"[EXT] Benefit-sharing versus co-ownership — the honest distinction, protocol-led. There's a real difference between a fund that *shares benefits* with Indigenous nations (charity shape) and one that recognizes *co-ownership* of the commons it holds (sovereignty shape). Which is the protocol's design, and how does ABUNDANCE avoid the extractive-precedent trap where ""benefit- sharing"" became a thin consolation for continued dispossession? This is protocol-flagged: the answer comes through PROJ-0058 and published Indigenous voices, never authored by the fleet."
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB91,bank,"[EXT] Natural-asset accounting on treaty land — whose asset? AB30 asks whether Toronto's ravines become fund assets. On treaty territory that question can't be answered without the protocol: if the ravines, watersheds, and tree canopy are ""natural assets,"" they are also ⚠️ often the subject of Indigenous rights and relationships that predate any accounting. Does natural-asset accounting on this land require Indigenous co-authorship of what counts as an asset and who holds it — and is there a real risk that ""booking nature as infrastructure"" is a new enclosure wearing green accounting (REGENERATION's boundary AND the protocol, together)?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB92,bank,"[EXT] What did each program's charter already PROMISE this fund? ABUNDANCE inherits fifteen charters, and several already pointed funding asks here — LIVELIHOOD's dignity-floor endowment and Insulation Charter, VITALITY's health-data SWF, HOMES' Elder Equity Bridge, HARVEST's fake-GDP/circular-plate revenue, DR3's localize-the-spend, TorontoOS's export revenue, and more. So the capstone's first honest job: assemble the *complete ledger of promises already made to this fund by its siblings*, total them, and answer whether the fund as designed can actually carry all of them — or whether some charter promises were written assuming a fund that can't exist at that scale."
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB93,bank,"[EXT] Claim-ordering between programs — who gets funded first when the fund can't fund everyone? Fifteen programs with real needs, one fund, finite capital. AB38 ranked three claims on fund income (dividend, commons investment, the floor's endowment); the capstone version ranks across *programs*: when LIVELIHOOD's dignity floor, GENESIS's first-1,000-days, ELDERS' care, and HOMES' housing all claim the same dollar, what's the seniority rule? Is the floor senior by design (the first dollar always feeds the dignity floor, LIVELIHOOD's Insulation Charter), and what's the honest, published, un-gameable priority ladder so claim-ordering isn't decided by whichever program lobbies hardest?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB94,bank,"[EXT] Being the funding spine without becoming the funding boss. ABUNDANCE holds the money for fifteen programs — which is exactly the power that lets a fund quietly govern everything it funds (fund the program, own the program). How does the capstone stay the *spine* (structural support, load-bearing, invisible) without becoming the *boss* (setting priorities the programs didn't choose, capturing the series through the purse)? What's the structural wall that keeps ABUNDANCE's control of the money from becoming control of the movement (the AB33 capture wall, pointed inward at the fund's power over its own siblings)?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB95,bank,"[EXT] The whole-series arithmetic on the wall. The capstone's honest baseline (section M, summed): what does the ENTIRE series cost to run at scale, per year, and can ABUNDANCE's revenue architecture — health data, exports, savings, waste, commons unlock, FLOW from the wealthy — carry it ""without new taxes""? Put the total series cost and the total honest revenue on the wall side by side. If they don't balance, the whole ""without new taxes"" thesis fails at the capstone, and the honest program says so — which brings us to the falsification set."
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB96,bank,"[EXT] Is connection the fund's cheapest and deepest asset? The whole movement rests on the claim that a well-connected community provisions its own — the gift economy runs on trust, the people's-capital graph is the non-rich's actual capital. So is ABUNDANCE's most material long-term asset not land or data or energy but *social capital* — the trust and relationships that let a community share the langar, unlock the gym, gift the tool, carry the high-need neighbour? If so, does the fund's highest-return investment turn out to be funding CONNECTION itself, because a connected commons needs a fraction of the capital an atomized one does?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB97,bank,"[EXT] The langar test as the fund's philosophical anchor (AB5, followed through). The gurdwaras run abundance without a fund — ⚠️ meals sustainably provisioned for centuries on seva and donation, no sovereign wealth required. What does that model actually know that sovereign-wealth thinking doesn't, and is the honest lesson that the deepest abundance is *relational, not financial* — that a fund is a crutch a truly connected community needs less of? What's the langar's honest scaling limit, and does ABUNDANCE's real goal become making itself as unnecessary as the gurdwara makes a food-budget line-item (the obsolescence thesis, AB75, grounded in a living example)?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB98,bank,"[EXT] **Kill-criterion for ""without new taxes.""** His load-bearing constraint (AB20, AB53–AB57, AB95). Pre-register the falsification: if the honest whole-series arithmetic (AB95) shows that health data is worth an order of magnitude less than hoped, exports don't scale, savings/waste recapture is a mirage, and FLOW from the wealthy is unreliable — such that the revenue architecture *cannot arithmetically carry the dignity floor* without new taxes — then the ""without new taxes"" thesis is falsified. What's the exact revenue-shortfall threshold that triggers this call, and does ABUNDANCE then honestly pivot to ""here are the taxes it would take,"" rather than pretending the fund closes a gap it "
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB99,bank,"[EXT] **Kill-criterion for the capture wall (the AB33 build/no-build gate).** His standing rule: no-verifiable-wall = no-fund. Pre-register it: if the capture wall — the structural guarantee that no politician, billionaire, founder, trustee, or future movement leadership can ever touch the commons capital — cannot be built as a *verifiable, irrevocable* structure (only promised, not proven), then the fund should NOT be built, because a commons fund without a verifiable capture wall is the biggest honeypot the movement will ever create. Who is empowered to declare the wall unbuildable, and does that finding alone stop the fund cold?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB100,bank,"[EXT] **Kill-criterion for the health-data sovereign wealth fund (AB6).** The fund-stack's flagship revenue story. Pre-register: if population health data is honestly worth ⚠️ an order of magnitude less than hoped (the market comparables come in low), OR if selling it can never be reconciled with CONNECTION's data-dignity rulings, then the health-data *revenue* thesis is falsified and the fund's first product must be data-dignity itself (governed access, never sale) with no revenue attached. What's the valuation threshold and the consent test that trigger this call, and does the fund honestly report the low number rather than the hoped-for one?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB101,bank,"[EXT] **Kill-criterion for the insulation devices (the OBIP test, AB18).** LIVELIHOOD's load-bearing cautionary: anything real must survive a hostile administration. Pre-register: if the ranked insulation devices (statutory trust, constitutionalized beneficiary rights, co-op member ownership, endowment irrevocability, federation) fail their FIRST simulated or real hostile- administration stress test — if a determined hostile government could raid, starve, or capture the fund the way ⚠️ Alberta's Heritage Fund was raided — then the insulation thesis is falsified and the fund is not safe to hold the commons. What's the stress test, who runs it, and does failure force a redesign before a dollar"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB102,bank,"[EXT] **Kill-criterion for FLOW-not-HOARD (the exit ramp, AB61–AB62).** His Seed 2 bet: the wealthy will walk down a dignified exit ramp and convert extraction into commons legacy. Pre-register: if, in honest observation, the exit ramp is used primarily to *launder reputation while the extraction continues* (AB62's greenwash) rather than to genuinely convert and stop extraction — if the ramp becomes an indulgence, not a transformation — then the exit-ramp thesis is falsified and the fund must refuse ramp-money that doesn't stop the extraction, even at real cost. What's the observable test that distinguishes genuine exit from laundering, and what refusal rate would tell us the ramp isn't work"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB103,bank,"[EXT] **Kill-criterion for the obsolescence thesis (AB75–AB78).** His bridge-with- planned-obsolescence claim. Pre-register: if at every checkpoint the fund only ever GROWS — never gets smaller, never distributes assets into permanent commons ownership, never begins winding down — then the ""bridge technology"" thesis is falsified and ABUNDANCE has become exactly the self- perpetuating institution it claimed it wouldn't be. What's the checkpoint at which continued growth (rather than beginning to shrink) counts as proof the bridge became a permanent structure, and who is empowered to say the obsolescence promise was a comforting fiction?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB104,bank,"[EXT] **Kill-criterion for the last-gift / acquisition-window thesis (AB49–AB51).** His timing thesis: acquire the commons before intelligence gets cheap. Pre-register: if the fund's acquisition strategy, judged honestly in hindsight, bought scarce assets *at a bubble top* (the AB50 warning) rather than ahead of a real repricing — if ""move early"" turns out to have meant ""overpay during a mania"" — then the acquisition-window thesis is falsified. And the deeper falsification: if intelligence getting cheap does NOT reprice the assets the fund raced to acquire, what does that mean for the whole last-gift premise? Who judges the window was real versus a story?"
